"","position","player","team","age","total_value","avg_year","total_guaranteed","fully_guaranteed","agency_time","type"
"202","4-3-defensive-tackle","Brandon Mebane","Chargers",34,10550000,5275000,7000000,5250000,2021,"UFA"
"203","4-3-defensive-tackle","Darius Philon","Cardinals",25,10000000,5000000,5000000,5000000,2021,"UFA"
"204","4-3-defensive-tackle","Malcom Brown","Saints",25,15000000,5000000,5500000,7500000,2022,"UFA"
"205","4-3-defensive-tackle","Ed Oliver","Bills",26.0725216234198,19675154,4918789,19675154,19675154,2023,"UFA"
"206","4-3-defensive-tackle","DeForest Buckner","49ers",25,18190990,4547748,18190990,18190990,2021,"UFA"
"207","defensive-line","Michael Brockers","Rams",29,33250000,11083333,24396000,18146000,2020,"UFA"
"208","defensive-line","Cameron Jordan","Saints",30,55000000,11000000,33469000,22969000,2021,"UFA"
"209","defensive-line","Jerry Hughes","Bills",31,21500000,10750000,19750000,19750000,2022,"UFA"
"210","defensive-line","Eddie Goldman","Bears",25,42040000,10510000,25000000,17250000,2023,"UFA"
"211","defensive-line","Brandon Williams","Ravens",30,52500000,10500000,27500000,24500000,2022,"UFA"
"212","defensive-line","Cameron Heyward","Steelers",30,52281000,10456200,16000000,16000000,2021,"UFA"
"213","defensive-line","Mike Daniels","Packers",30,41000000,10250000,12000000,12000000,2020,"UFA"
"214","left-guard","Andrew Norwell","Jaguars",28,66500000,13300000,30000000,30000000,2023,"UFA"
"215","4-3-outside-linebacker","Oshane Ximines","Giants",26.0725216234198,3366848,841712,0,0,2020,"ERFA"
"216","4-3-outside-linebacker","Jayrone Elliott","Dolphins",28,795000,795000,100000,75000,2020,"UFA"
"217","4-3-outside-linebacker","Kyler Fackrell","Packers",28,3135828,783957,694048,694048,2020,"UFA"
"218","4-3-outside-linebacker","Jordan Jenkins","Jets",25,3123920,780980,723920,723920,2020,"UFA"
"219","4-3-outside-linebacker","Samson Ebukam","Rams",24,3007012,751753,607012,607012,2021,"UFA"
"220","4-3-outside-linebacker","Justin Hollins","Broncos",26.0725216234198,2826896,706724,306896,306896,2023,"UFA"
"221","tight-end","Jimmy Graham","Packers",33,30000000,10000000,11000000,11000000,2021,"UFA"
"222","4-3-defensive-end","Carlos Dunlap","Bengals",30,40500000,13500000,22000000,18000000,2022,"UFA"
"223","4-3-defensive-end","Brandon Graham","Eagles",31,40000000,13333333,27000000,27000000,2024,"UFA"
"224","4-3-defensive-end","Dante Fowler, Jr.","Rams",25,12000000,12000000,12000000,12000000,2020,"UFA"
"225","4-3-defensive-end","Cameron Jordan","Saints",30,55000000,11000000,33469000,22969000,2021,"UFA"
